,product_id,product_title
116,417929,Nykaa BlendPro Powder Stippling Makeup Brush
117,394618,Nykaa Contour & Conquer - Contour and Highlight Duo - Sizzle Chisel 01
118,3840762,Nykaa Cosmetics Get Set Matte Liquid Lipstick Duo - G.O.A.T + LIT
119,376843,Nykaa Wedding Lotus Gift Box
120,376842,Nykaa Wedding Moringa Gift Box
121,376841,Nykaa Wedding Jasmine Gift Box
122,3756803,Nykaa Cosmetics Glam Eyes Look-Glamoreyes Coloured Liquid EyelinerChaotic Calypso+Enchanting Forest
123,3756794,Masaba's Fiery Orange Look- Lipstick + Nail enamel- Can't Deal
124,3756792,Nykaa Cosmetics Get Set Matte Look- All Day Matte compact powder- Maple + So Creme Matte Lipstick- Day Dreaming
125,374238,Nykaa So Matte! Mini Lipstick - 03 Devious Pink
126,374235,Nykaa So Matte! Mini Lipstick - 17 M Cranberry Sangria
127,374233,Nykaa So Matte! Mini Lipstick - 30 M Regal Ruby
128,3705529,Moi Day & Night Fragrance Duo - Bisous + Matin
129,3705524,Masaba Signature Kit - Lipstick + Nail Paint + Mini Perfume
130,3652978,Nykaa Cosmetics BlendPro Highlighting Fan Makeup Brush & Foundation Makeup Brush Combo
131,3597385,Nykaa Cosmetics Pastel Manicure Kit
132,3597383,Nykaa Cosmetics Gel Shine Manicure- Nail Lacquer + Nail Care + Nail Enamel Remover
133,347365,Nykaa SKINgenius BB Cream SPF30
134,347361,Nykaa SKINgenius BB Cream SPF30 - Soft Beige 02
135,3446267,Nykaa Ultra Matte Mini- Marilyn - 10
136,3446266,Nykaa Ultra Matte Mini- Cher 14
137,3446264,Nykaa So Matte! Mini Lipstick - 17 M Cranberry Sangria
138,3445858,Nykaa Cosmetics Breathable Nail Enamel Combo-Easy Nude + Dreamy Dahlia
139,3445855,Nykaa Nail Enamel Combos- Barefoot Stroll + Purple Unicorn + Hasta La Pista Creme
140,343888,Nykaa Mermaid Squad Pouch
141,315084,Nykaa Bling It On! Mini Travel-Size Makeup Pouch - Stormy Goddess
142,315082,Nykaa Bling It On! Mini Travel-Size Makeup Pouch - Blushing Gold
143,286417,Nykaa Metal Addict Makeup Bag - Blushing Gold
144,277502,Nykaa All Thing Glam Makeup Bag - Pristine White
145,277501,Nykaa All Thing Glam Makeup Bag - Golden Hour
146,248367,Nykaa Party Edit Clutch
147,222623,Nykaa Bling It On Pouch
148,220091,Nykaa GLAMOReyes Coloured Liquid Eyeliner - 05 Dragon's Heart
149,209282,Nykaa SKINgenius Foundation Stick Conceal Contour & Corrector - Toffee Chisel 07
150,209281,Nykaa SKINgenius Foundation Stick Conceal Contour & Corrector - Golden Hazelnut 06
151,196392,Nykaa Get Winged! Sketch Eyeliner Pen - Black Swan 01
152,139821,Nykaa SKINgenius Skin Perfecting & Hydrating Matte Powder Compact - Rose Beige 02
153,139814,Nykaa SKINgenius Skin Perfecting & Hydrating Matte Powder Compact
154,127349,Nykaa Prove Your Point Cosmetic Sharpener! - 6112
155,1181100,Nykaa Serial Kisser Lip Balm Combo - Strawberry & Raspberry
156,1124808,Nykaa Paintstix! Waterproof Matte Lipstick - Polka Dots
157,1124796,Nykaa Paintstix! Waterproof Matte Lipstick - Flower Power
158,1066972,Nykaa Cosmetics Masaba By Nykaa Mini Pocket Perfume
159,8078,"NIVEA Sun Lotion, SPF 50, with UVA & UVB Protection, Water Resistant Sunscreen"
160,1473807,Nivea Naturally Good Care Box
161,822104,NYX Professional Makeup Long Lasting Makeup Setting Spray Radiant Finish
162,5525816,NYX Professional Makeup Must Haves - Tinted Brow Mascara Espresso & Soft Matte Lip Cream Copenhagen
163,42142,NYX Professional Makeup Born To Glow Liquid Illuminator
164,42114,NYX Professional Makeup Wonder Stick
165,42085,NYX Professional Makeup Pore Filler
166,41880,NYX Professional Makeup Liquid Suede Cream Lipstick
167,361744,NYX Professional Makeup Powder Puff Lippie Cream
168,190741,NYX Professional Makeup Ultimate Multi-Finish Shadow Palette
169,173656,NYX Professional Makeup Suede Matte Lip Liner
170,1134707,NYX Professional Makeup Diamonds & Ice - Please Setting Spray Kit
171,861356,Maybelline New York Define & Blend Brow Pencil
172,7749427,Maybelline New York Super Stay Matte Ink Liquid Lipstick Birthday Collection
173,73008,Maybelline New York V-Face Duo Stick
174,7066986,Maybelline New York Sensational Liquid Matte Minis Pack Of 3
175,648691,Maybelline New York Tattoo Studio Gel Eyeliner Pencil
176,6057747,Maybelline New York Colossal Mascara With 2 Free Sensational Liquid Matte Mini - Best Babe
177,48066,Maybelline New York The Blushed Nudes Eye Shadow Palette
178,4749403,Maybelline New York Fit Me Compact Powder
179,452475,Maybelline New York Color Sensational Satin Lipstick
180,435129,Maybelline New York Shine Compulsion Lipstick
181,353883,Maybelline New York Lasting Drama Light Eyeliner Pencil
182,288288,Maybelline New York Color Sensational Matte Metallic Lipstick
183,26651,Maybelline New York Fashion Brow Duo Shaper
184,250,Maybelline New York Clear Smooth All in One UV+ Lightening Oil Control Two Way Cake SPF 32 PA+++
185,189962,Maybelline New York Facestudio Master Strobing Cream
186,18423,Maybelline New York The Colossal Liner - Black
187,176376,Maybelline New York Face Studio Master Contour Palette
188,1287936,Maybelline New York Liner & Palette Combo: Blushed Look
189,1287915,Maybelline New York Bold & Nude - Eye Combo
190,995305,Lakme Eye-conic Eyes Combo
191,981,Lakme Kajal - Black
192,9471,Lakme Absolute Forever Silk Eyeliner
193,930436,Lakme 9 To 5 Matte Moist Mattifying Moisturiser
194,860860,Lakme Absolute Illuminating Blush Shimmer Brick - In Pink + Eyeconic Curling Mascara - Black Combo
195,68508,Lakme Absolute Illuminating Blush Shimmer Brick
196,684657,Lakme Absolute Kohl Ultimate The Gelato Collection
197,6565374,Lakme Matte Ultimate Festive Lips Combo
198,6028352,Lakme 9to5 Primer + Matte Liquid Lip Color
199,4639701,Lakme Peach Milk Moisturizer Spf 24 Pa++
200,4586552,Lakme Perfect Definition Lipliner - Mauve Passion
201,457014,Lakme Blush & Glow Lemon Freshness Gel Face Wash
202,44879,Lakme Enrich Matte Lipstick
203,24093,Lakme Enrich Satin Lipstick
204,189912,Lakme Absolute Argan Oil Serum Foundation With SPF 45
205,1474924,Lakme Absolute Plush Matte Lip Crayon
206,14410,Lakme Absolute Flutter Secrets Dramatic Eyes Mascara - Night Drama
207,1290,Lakme Absolute White Intense SPF 20 Concealer Stick
208,1268,Lakme Face Sheer Blusher
209,1139,Lakme True Wear Nail Color
210,1017,Lakme Lip Gloss
211,771559,L'Oreal Paris Hair Colour Protection Combo - Casting Creme Gloss Hair Colour 400 Dark Brown + Magic Retouch
212,7308001,L'Oreal Paris Glycolic Bright Day Regime
213,681194,L'Oreal Paris Infallible Ultra Matte Liquid Les Macarons Lipstick
214,648660,L'Oreal Paris Le Bar Powder Blush - 8 City Explorer
215,648655,L'Oreal Paris x Karl Lagerfeld Lipstick
216,648648,L'Oreal Paris Matte Signature Eyeliner
217,64110,L'Oreal Paris Volume Million Lashes Waterproof Mascara
218,5612,L'Oreal Paris Superliner Black Lacquer
219,479,L'Oreal Paris Infallible Le Rouge Lipstick
220,4394259,L'Oreal Paris Casting Creme Gloss Ultra Visible Conditioning Hair Color
221,435111,L'Oreal Paris Flash Cat Eye Eyeliner - Black
222,36379,L'Oreal Paris Infallible Mega Gloss
223,353931,L'Oreal Paris True Match BB Cream
224,301196,L'Oreal Paris Casting Creme Gloss Hair Color - 316 + Magic Retouch Instant Root Concealer - 2 Dark Brown
225,266374,L'Oreal Paris Excellence Fashion Highlights Hair Color
226,257862,L'Oreal Paris Infallible Gel Crayon Eyeliner
227,18744,L'Oreal Paris Age 20+ Skin Perfect Cream UV Filters
228,160488,L'Oreal Paris Magic Retouch Instant Root Concealer Spray
229,139993,L'Oreal Paris Infallible Pro-Spray & Set Makeup Extender
230,834303,Kay Beauty Illuminating Highlighter
231,766529,Kay Beauty HD Translucent Loose Powder - White
232,766520,Kay Beauty Matte HD Setting Loose Powder
233,692836,Kay Beauty Quick Dry Liquid Eyeliner
